year,address.city,address.state,business.name,industry.division,industry.major_group
2002,Cherry Hill,NJ,United States Cold Storage,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2002,TOWNSEND,MA,"CARILORZ CORP DBA JCA, INC.",Manufacturing,Miscellaneous Manufacturing Industries
2002,COLUMBUS,OH,Lancaster Colony Corporation,Manufacturing,Food And Kindred Products
2002,Malden,MA,Ace-Lon Corporation,Manufacturing,Paper And Allied Products
2002,Canton,MA,New England Door Corporation,Manufacturing,"Lumber And Wood Products, Except Furniture"
2002,SOMERVILLE,MA,AMES SAFETY ENVELOPE COMPANY,Manufacturing,Paper And Allied Products
2002,Walpole,MA,Walpole Woodworkers Inc,Manufacturing,"Lumber And Wood Products, Except Furniture"
2002,CANTON,MA,Plymouth Rubber Company Inc,Manufacturing,Rubber And Miscellaneous Plastics Products
2002,NORTH BILLERICA,MA,Spir-It Inc,Manufacturing,Rubber And Miscellaneous Plastics Products
2002,GREENFIELD,MA,BETE FOG NOZZLE INC,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2002,SARASOTA,FL,Forest Products Supply Inc,Wholesale Trade,Wholesale Trade-durable Goods
2002,MIDDLEFIELD,CT,COOPER INSTRUMENT CORP,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks"
2002,Bristol,CT,Arrow Manufacturing Company,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2002,WINDSOR,CT,Taylor & Fenn Company,Manufacturing,Primary Metal Industries
2002,West Springfield,MA,Plastic Packaging Corporation,Manufacturing,Rubber And Miscellaneous Plastics Products
2002,AUBURN,MA,WORCESTER ENVELOPE COMPANY,Manufacturing,Paper And Allied Products
2002,Lewiston,ME,Enterprise Foundry Inc,Manufacturing,Primary Metal Industries
2002,CAMDEN,NJ,CAMPBELL SOUP COMPANY,Manufacturing,Food And Kindred Products
2002,STRATFORD,CT,Ross & Roberts Inc,Manufacturing,Textile Mill Products
2002,Brooklyn,NY,Virginia Dare Extract Company,Manufacturing,Food And Kindred Products
2002,WATERBURY,CT,PLATT BROTHERS & COMPANY,Manufacturing,Primary Metal Industries
2002,Southbury,CT,Romatic Manufacturing Company,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2002,WHITEFIELD,NH,Brown Street Furniture Inc,Manufacturing,Furniture And Fixtures
2002,CENTRAL FALLS,RI,MURDOCK WEBBING COMPANY INC,Manufacturing,Textile Mill Products
2002,LINCOLN,RI,MANDEVILLE SIGNS INC,Manufacturing,Miscellaneous Manufacturing Industries
2002,Brooklyn,NY,Manhattan Store Interiors Inc,Manufacturing,Furniture And Fixtures
2002,Asheville,NC,Lowes Home Centers Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2002,Naugatuck,CT,Donham Craft Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2002,Thomaston,CT,Metallon Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2002,STRATFORD,CT,Frank Roth Co Inc,Manufacturing,Industrial And Commercial Machinery And Computer Equipment
2002,WEST NYACK,NY,GENERAL BEARING CORPORATION,Manufacturing,Industrial And Commercial Machinery And Computer Equipment
2002,BLOOMFIELD,CT,JACOBS VEHICLE SYSTEMS INC,Manufacturing,Transportation Equipment
2002,MOONACHIE,NJ,Heller & Usdan Inc,Manufacturing,Paper And Allied Products
2002,ENGLEWOOD,NJ,FISHER BROS STEEL CORP,Wholesale Trade,Wholesale Trade-durable Goods
2002,Brooklyn,NY,Damascus Bakery Inc,Manufacturing,Food And Kindred Products
2002,Staten Island,NY,Reynolds Shipyard Corp,Manufacturing,Transportation Equipment
2002,SANTA MONICA,CA,ARROYO OPTICS INC,Manufacturing,Textile Mill Products
2002,DES PLAINES,IL,OHARE SPRING CO INC,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2002,SOUTH WINDSOR,CT,REX LUMBER COMPANY,Manufacturing,"Lumber And Wood Products, Except Furniture"
2002,Jackson,GA,Collins Industries Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2002,ALSIP,IL,CROWN CORK & SEAL COMPANY INC,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2002,FAIRFIELD,OH,Hamilton Sorter Co Inc,Manufacturing,Furniture And Fixtures
2002,THOMPSONTOWN,PA,Armstrong Wood Products Inc,Manufacturing,Furniture And Fixtures
2002,WAUKESHA,WI,SPANCRETE INDUSTRIES INC,Manufacturing,"Stone, Clay, Glass, And Concrete Products"
2002,LANNON,WI,ALLISTER FABRICATING INC,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
