Description,Data.Sugar Total,Data.Water,Data.Vitamins.Vitamin K
"BUTTER,WITH SALT",0.059999999,15.87,7
"BUTTER,WHIPPED,WITH SALT",0.059999999,15.87,7
"BUTTER OIL,ANHYDROUS",0,0.24,8.6
"CHEESE,BLUE",0.5,42.41,2.4
"CHEESE,BRICK",0.50999999,41.11,2.5
"CHEESE,BRIE",0.449999988,48.42,2.3
"CHEESE,CAMEMBERT",0.460000008,51.8,2
"CHEESE,CARAWAY",0,39.28,0
"CHEESE,CHEDDAR",0.519999981,36.75,2.8
"CHEESE,CHESHIRE",0,37.65,0
"CHEESE,COLBY",0.519999981,38.2,2.7
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",2.670000076,79.79,0
"CHEESE,COTTAGE,CRMD,W/FRUIT",2.380000114,79.64,0.4
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",1.850000024,81.01,0
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",3.670000076,80.69,0
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",2.720000029,82.48,0.1
"CHEESE,CREAM",3.210000038,54.44,3.4
"CHEESE,EDAM",1.429999948,41.56,2.3
"CHEESE,FETA",4.090000153,55.22,1.8
"CHEESE,FONTINA",1.549999952,37.92,2.6
"CHEESE,GJETOST",0,13.44,0
"CHEESE,GOUDA",2.220000029,41.46,2.3
"CHEESE,GRUYERE",0.360000014,33.19,2.7
"CHEESE,LIMBURGER",0.49000001,48.42,2.3
"CHEESE,MONTEREY",0.5,41.01,2.5
"CHEESE,MOZZARELLA,WHL MILK",1.029999971,50.01,2.3
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",1.00999999,48.38,2.5
"CHEESE,MOZZARELLA,PART SKIM MILK",1.129999995,53.78,1.6
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",0.600000024,46.46,1.3
"CHEESE,MUENSTER",1.120000005,41.77,2.5
"CHEESE,NEUFCHATEL",3.190000057,63.11,1.7
"CHEESE,PARMESAN,GRATED",0.899999976,20.84,1.9
"CHEESE,PARMESAN,HARD",0.800000012,29.16,1.7
"CHEESE,PORT DE SALUT",0.569999993,45.45,2.4
"CHEESE,PROVOLONE",0.560000002,40.95,2.2
"CHEESE,RICOTTA,WHOLE MILK",0.270000011,71.7,1.1
"CHEESE,RICOTTA,PART SKIM MILK",0.310000002,74.41,0.7
"CHEESE,ROMANO",0.730000019,30.91,2.2
"CHEESE,ROQUEFORT",0,39.38,0
"CHEESE,SWISS",1.320000052,37.12,2.5
"CHEESE,TILSIT",0,42.86,0
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",0.50999999,39.16,2.7
"CHEESE,PAST PROCESS,PIMENTO",0.629999995,39.08,2.9
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",1.230000019,42.31,2.2
"CHEESE FD,COLD PK,AMERICAN",0,43.12,0
"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",7.429999828,43.21,3.4
"CHEESE FD,PAST PROCESS,SWISS",0,43.67,0
"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",7.320000172,47.65,1.8
"CREAM,FLUID,HALF AND HALF",0.159999996,80.57,1.3
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",0.140000001,73.75,1.7
"CREAM,FLUID,LT WHIPPING",0.109999999,63.5,2.7
"CREAM,FLUID,HVY WHIPPING",0.109999999,57.71,3.2
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",8,61.33,1.9
"CREAM,SOUR,RED FAT,CULTURED",0.159999996,80.14,0.6
"CREAM,SOUR,CULTURED",3.5,74.46,1.8
EGGNOG,8.409999847,74.37,0.2
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",4.679999828,74.79,4.1
